Depth[m]	Vp[m/s]	Density[kg/m3]
1500.07	2664.2	2394
1500.23	2656.0	2384
1500.38	2665.4	2384
1500.53	2641.6	2360
1500.68	2615.5	2336
1500.84	2608.3	2312
1500.99	2622.3	2288
1501.14	2642.9	2269
1501.29	2663.8	2262
1501.44	2657.2	2269
1501.60	2643.6	2298
1501.75	2684.6	2303
1501.90	2812.2	2310
1502.05	3003.8	2316
1502.21	3221.7	2297
1502.36	3301.2	2308
1502.51	3173.3	2307
1502.66	3041.6	2291
1502.82	2926.0	2275
1502.97	2849.0	2258
1503.12	2775.9	2229
1503.27	2716.0	2210
1503.43	2697.2	2203
1503.58	2698.0	2220
1503.73	2726.3	2237
1503.88	2753.8	2242
1504.04	2760.7	2244
1504.19	2767.3	2246
1504.34	2773.9	2274
1504.49	2781.2	2289
1504.65	2769.6	2301
1504.80	2757.0	2329
1504.95	2739.1	2348
1505.10	2716.8	2344
1505.25	2694.7	2339
1505.41	2686.8	2343
1505.56	2700.3	2322
1505.71	2679.0	2307
1505.86	2650.1	2321
1506.02	2621.8	2313
1506.17	2603.5	2317
1506.32	2614.0	2308
1506.47	2648.8	2290
1506.63	2700.5	2292
1506.78	2707.4	2257
1506.93	2708.5	2235
1507.08	2696.4	2291
1507.24	2723.3	2325
1507.39	2759.0	2354
1507.54	2746.4	2368
1507.69	2775.4	2337
1507.85	2794.2	2351
1508.00	2772.3	2371
1508.15	2799.5	2363
1508.30	2837.5	2343
1508.46	2876.6	2326
1508.61	2916.8	2321
1508.76	2907.4	2326
1508.91	2878.1	2332
1509.06	2819.8	2341
1509.22	2767.7	2350
1509.37	2746.1	2372
1509.52	2724.2	2412
1509.67	2694.4	2393
1509.83	2659.0	2401
1509.98	2635.9	2364
1510.13	2621.2	2369
1510.28	2624.1	2383
1510.44	2638.9	2399
1510.59	2641.1	2408
1510.74	2636.3	2375
1510.89	2656.8	2363
1511.05	2675.1	2332
1511.20	2696.7	2302
1511.35	2729.3	2314
1511.50	2649.4	2294
1511.66	2581.4	2267
1511.81	2531.4	2292
1511.96	2511.0	2314
1512.11	2607.6	2308
1512.27	2686.4	2310
1512.42	2720.4	2255
1512.57	2756.3	2285
1512.72	2744.7	2312
1512.87	2733.3	2307
1513.03	2751.7	2331
1513.18	2821.9	2361
1513.33	2930.8	2383
1513.48	2967.8	2390
1513.64	2960.8	2379
1513.79	2911.6	2386
1513.94	3029.3	2404
1514.09	3222.2	2422
1514.25	3289.7	2391
1514.40	3294.0	2373
1514.55	3214.2	2407
1514.70	2987.5	2427
1514.86	2790.7	2454
1515.01	2643.8	2487
1515.16	2634.8	2443
1515.31	2668.0	2434
1515.47	2720.6	2449
1515.62	2759.7	2463
1515.77	2779.2	2425
1515.92	2798.7	2383
1516.08	2825.5	2343
1516.23	2850.9	2360
1516.38	2837.7	2379
1516.53	2855.4	2370
1516.68	2846.8	2343
1516.84	2857.2	2320
1516.99	2867.5	2317
1517.14	2864.3	2321
1517.29	2849.8	2309
1517.45	2835.7	2297
1517.60	2826.5	2292
1517.75	2819.6	2299
1517.90	2807.8	2317
1518.06	2796.4	2321
1518.21	2803.8	2314
1518.36	2820.2	2306
1518.51	2908.1	2320
1518.67	3057.6	2327
1518.82	3318.5	2345
1518.97	3628.2	2368
1519.12	3829.4	2400
1519.28	3595.1	2433
1519.43	3281.9	2467
1519.58	3033.1	2484
1519.73	2916.5	2491
1519.89	2874.2	2437
1520.04	2823.7	2376
1520.19	2761.8	2325
1520.34	2704.6	2316
1520.49	2649.3	2333
1520.65	2674.6	2349
1520.80	2725.0	2378
1520.95	2769.7	2391
1521.10	2793.4	2333
1521.26	2726.2	2301
1521.41	2650.0	2331
1521.56	2615.6	2351
1521.71	2640.2	2336
1521.87	2729.8	2350
1522.02	2839.7	2374
1522.17	2897.6	2357
1522.32	2951.6	2348
1522.48	2959.7	2368
1522.63	2929.2	2376
1522.78	2871.1	2388
1522.93	2816.9	2391
1523.09	2828.0	2408
1523.24	2864.2	2426
1523.39	2913.0	2421
1523.54	2894.4	2425
1523.70	2860.3	2386
1523.85	2813.3	2391
1524.00	2776.7	2379
1524.15	2775.3	2385
1524.30	2809.3	2387
1524.46	2874.8	2371
1524.61	2943.1	2364
1524.76	2992.5	2340
1524.91	3022.3	2317
1525.07	3042.6	2330
1525.22	3050.7	2336
1525.37	3040.3	2362
1525.52	3019.0	2389
1525.68	2984.1	2390
1525.83	2949.9	2385
1525.98	2933.0	2388
1526.13	2925.1	2399
1526.29	2947.4	2422
1526.44	2974.7	2437
1526.59	3002.5	2417
1526.74	3029.5	2389
1526.90	3053.8	2384
1527.05	3065.0	2369
1527.20	3012.1	2369
1527.35	2929.8	2387
1527.51	2851.8	2415
1527.66	2777.9	2427
1527.81	2710.1	2374
1527.96	2728.5	2377
1528.11	2804.5	2379
1528.27	2838.5	2357
1528.42	2862.2	2347
1528.57	2869.8	2351
1528.72	2858.8	2385
1528.88	2854.0	2378
1529.03	2864.2	2373
1529.18	2896.2	2384
1529.33	2926.1	2393
1529.49	2946.6	2402
1529.64	2869.4	2411
1529.79	2811.8	2416
1529.94	2786.2	2374
1530.10	2804.7	2362
1530.25	2828.5	2368
1530.40	2858.7	2388
1530.55	2883.0	2402
1530.71	2848.7	2346
1530.86	2822.3	2360
1531.01	2865.3	2383
1531.16	2908.6	2394
1531.32	2940.8	2365
1531.47	2906.4	2376
1531.62	2866.8	2387
1531.77	2904.6	2372
1531.92	2999.5	2364
1532.08	2972.1	2402
1532.23	2877.2	2342
1532.38	2842.0	2322
1532.53	2829.9	2303
1532.69	2791.9	2309
1532.84	2790.0	2334
1532.99	2774.5	2343
1533.14	2658.1	2320
1533.30	2546.2	2340
1533.45	2525.0	2327
1533.60	2560.6	2313
1533.75	2647.7	2310
1533.91	2747.9	2285
1534.06	2828.0	2271
1534.21	2921.2	2280
1534.36	3076.7	2269
1534.52	3213.3	2263
1534.67	3428.7	2274
1534.82	4092.7	2318
1534.97	4164.8	2364
1535.13	3859.0	2411
1535.28	3562.5	2458
1535.43	3308.3	2482
1535.58	3120.5	2486
1535.73	2959.7	2493
1535.89	2814.5	2411
1536.04	2725.7	2373
1536.19	2670.0	2361
1536.34	2762.2	2374
1536.50	2855.3	2386
1536.65	2917.5	2348
1536.80	2965.0	2335
1536.95	2998.3	2358
1537.11	2899.3	2327
1537.26	2883.3	2348
1537.41	2850.2	2355
1537.56	2789.7	2327
1537.72	2790.4	2313
1537.87	2809.2	2320
1538.02	2860.8	2313
1538.17	2914.7	2283
1538.33	2953.1	2220
1538.48	2931.8	2241
1538.63	2941.5	2275
1538.78	2969.6	2309
1538.94	2997.9	2340
1539.09	2999.1	2321
1539.24	2987.2	2313
1539.39	2998.8	2366
1539.54	3021.9	2394
1539.70	2971.5	2414
1539.85	2919.2	2407
1540.00	2891.2	2402
1540.15	2883.2	2412
1540.31	2917.6	2429
1540.46	3016.0	2432
1540.61	2970.6	2414
1540.76	2864.3	2382
1540.92	2804.0	2393
1541.07	2862.2	2409
1541.22	2970.9	2415
1541.37	3061.1	2459
1541.53	3014.2	2491
1541.68	2918.6	2468
1541.83	2891.1	2461
1541.98	2958.4	2512
1542.14	3013.0	2448
1542.29	3023.0	2399
1542.44	2977.6	2364
1542.59	2911.4	2342
1542.75	2847.8	2334
1542.90	2787.0	2329
1543.05	2731.7	2350
1543.20	2714.8	2386
1543.35	2731.5	2361
1543.51	2721.6	2318
1543.66	2709.4	2295
1543.81	2690.8	2324
1543.96	2672.5	2310
1544.12	2650.3	2299
1544.27	2620.2	2313
1544.42	2626.9	2321
1544.57	2668.6	2296
1544.73	2751.9	2269
1544.88	2840.6	2263
1545.03	2924.0	2293
1545.18	2956.5	2301
1545.34	2939.1	2273
1545.49	2921.9	2278
1545.64	2935.7	2293
1545.79	3013.8	2323
1545.95	3100.1	2374
1546.10	3198.1	2390
1546.25	3232.0	2386
1546.40	3194.7	2401
1546.56	3116.2	2396
1546.71	3037.8	2417
1546.86	2945.0	2392
1547.01	2858.8	2366
1547.16	2891.1	2336
1547.32	2954.1	2302
1547.47	3018.2	2250
1547.62	3085.1	2228
1547.77	3123.7	2258
1547.93	3115.2	2303
1548.08	3073.6	2349
1548.23	3033.1	2386
1548.38	2993.7	2384
1548.54	2972.9	2406
1548.69	2968.0	2373
1548.84	3013.0	2331
1548.99	3029.5	2304
1549.15	3058.5	2300
1549.30	3136.2	2321
1549.45	3214.8	2377
1549.60	3224.9	2412
1549.76	3132.1	2431
1549.91	3061.5	2417
1550.06	3044.5	2407
1550.21	3051.9	2455
1550.37	3034.6	2428
1550.52	3031.9	2422
1550.67	3057.5	2418
1550.82	3054.5	2439
1550.97	3061.7	2487
1551.13	3109.5	2462
1551.28	3120.1	2427
1551.43	3100.6	2417
1551.58	3069.2	2396
1551.74	3038.4	2375
1551.89	3008.3	2354
1552.04	2978.7	2342
1552.19	2939.8	2333
1552.35	2878.4	2331
1552.50	2819.5	2360
1552.65	2762.9	2376
1552.80	2719.2	2391
1552.96	2696.8	2390
1553.11	2670.1	2409
1553.26	2701.4	2404
1553.41	2756.5	2421
1553.57	2877.9	2408
1553.72	3009.8	2418
1553.87	3095.0	2398
1554.02	3048.9	2406
1554.18	2980.6	2403
1554.33	2958.1	2465
1554.48	2943.7	2517
1554.63	2900.5	2552
1554.78	2862.2	2501
1554.94	2824.9	2428
1555.09	2798.1	2377
1555.24	2839.2	2333
1555.39	2903.6	2285
1555.55	2972.2	2272
1555.70	2923.7	2308
1555.85	2883.3	2334
1556.00	2872.2	2357
1556.16	2901.3	2371
1556.31	2946.3	2363
1556.46	2980.9	2367
1556.61	2950.6	2357
1556.77	2898.6	2332
1556.92	2818.8	2316
1557.07	2743.2	2264
1557.22	2677.2	2217
1557.38	2622.3	2221
1557.53	2591.6	2210
1557.68	2578.4	2192
1557.83	2569.4	2172
1557.99	2581.9	2147
1558.14	2609.2	2144
1558.29	2641.3	2150
1558.44	2660.8	2141
1558.59	2581.7	2145
1558.75	2505.4	2153
1558.90	2443.4	2139
1559.05	2427.4	2121
1559.20	2498.5	2099
1559.36	2612.3	2072
1559.51	2737.0	2045
1559.66	2874.3	2068
1559.81	3012.4	2114
1559.97	3064.5	2173
1560.12	3036.9	2232
1560.27	2978.5	2294
1560.42	2919.2	2360
1560.58	2868.0	2413
1560.73	2844.5	2425
1560.88	2840.4	2402
1561.03	2834.1	2394
1561.19	2796.6	2381
1561.34	2812.5	2357
1561.49	2837.8	2362
1561.64	2834.8	2339
1561.80	2821.8	2333
1561.95	2789.7	2353
1562.10	2728.8	2369
1562.25	2694.2	2351
1562.40	2730.2	2331
1562.56	2906.1	2323
1562.71	3106.3	2332
1562.86	3310.8	2319
1563.01	3433.9	2327
1563.17	3358.3	2339
1563.32	3233.0	2321
1563.47	2947.0	2377
1563.62	2658.5	2409
1563.78	2839.9	2407
1563.93	2827.2	2412
1564.08	2862.0	2365
1564.23	2855.3	2328
1564.39	2855.5	2311
1564.54	2869.5	2335
1564.69	2820.1	2359
1564.84	2778.3	2373
1565.00	2777.7	2381
1565.15	2804.8	2364
1565.30	2869.5	2351
1565.45	2937.3	2329
1565.61	3010.1	2307
1565.76	3055.0	2300
1565.91	3076.0	2306
1566.06	3076.0	2318
1566.21	3032.4	2298
1566.37	2947.4	2293
1566.52	2884.8	2293
1566.67	2860.9	2277
1566.82	2879.4	2244
1566.98	2896.6	2212
1567.13	2886.0	2180
1567.28	2876.4	2176
1567.43	2866.8	2181
1567.59	2896.8	2209
1567.74	2943.1	2256
1567.89	2969.9	2278
1568.04	2982.6	2294
1568.20	2907.0	2313
1568.35	2799.7	2319
1568.50	2722.7	2323
1568.65	2676.1	2311
1568.81	2608.2	2330
1568.96	2543.7	2346
1569.11	2482.3	2317
1569.26	2427.4	2288
1569.42	2454.6	2262
1569.57	2685.6	2231
1569.72	2945.8	2164
1569.87	3179.6	2103
1570.02	3265.8	2088
1570.18	3207.2	2218
1570.33	3108.5	2334
1570.48	3015.7	2411
1570.63	2983.1	2422
1570.79	2967.2	2394
1570.94	2939.1	2366
1571.09	2893.8	2306
1571.24	2849.5	2245
1571.40	2851.2	2209
1571.55	2850.9	2190
1571.70	2839.6	2176
1571.85	2828.4	2170
1572.01	2829.9	2201
1572.16	2837.9	2222
1572.31	2882.9	2246
1572.46	2929.3	2279
1572.62	2965.9	2315
1572.77	2945.1	2383
1572.92	2927.1	2377
1573.07	2912.9	2399
1573.23	2898.7	2427
1573.38	2913.0	2423
1573.53	2933.1	2434
1573.68	2952.2	2442
1573.83	3017.6	2426
1573.99	3081.7	2411
1574.14	3111.0	2410
1574.29	3119.4	2409
1574.44	2996.9	2379
1574.60	2675.8	2365
1574.75	2807.5	2357
1574.90	3027.9	2389
1575.05	2996.8	2375
1575.21	2888.4	2359
1575.36	2674.7	2378
1575.51	2613.2	2372
1575.66	2927.7	2393
1575.82	3338.5	2399
1575.97	3883.4	2411
1576.12	4397.3	2451
1576.27	3599.6	2486
1576.43	3153.9	2503
1576.58	2955.2	2519
1576.73	2918.6	2486
1576.88	3018.2	2448
1577.04	3085.6	2401
1577.19	3071.3	2355
1577.34	2931.1	2327
1577.49	2803.1	2323
1577.64	2753.2	2356
1577.80	2712.4	2380
1577.95	2772.6	2392
1578.10	2864.2	2402
1578.25	2909.2	2371
1578.41	2952.7	2331
1578.56	2989.0	2338
1578.71	2957.7	2317
1578.86	2871.9	2331
1579.02	2814.5	2348
1579.17	2806.5	2359
1579.32	2847.6	2367
1579.47	2907.5	2343
1579.63	2969.3	2318
1579.78	3015.3	2295
1579.93	3062.1	2299
1580.08	3090.8	2342
1580.24	3095.0	2401
1580.39	3139.3	2416
1580.54	3115.8	2421
1580.69	3076.2	2447
1580.85	2989.8	2475
1581.00	2907.9	2460
1581.15	2827.5	2486
1581.30	2807.5	2456
1581.45	2811.6	2406
1581.61	2831.1	2372
1581.76	2837.7	2367
1581.91	2889.4	2387
1582.06	2940.9	2393
1582.22	3060.7	2381
1582.37	3178.2	2377
1582.52	3162.8	2385
1582.67	3116.2	2372
1582.83	3039.9	2389
1582.98	2989.6	2412
1583.13	2989.6	2431
1583.28	2983.7	2408
1583.44	2943.4	2354
1583.59	2918.6	2374
1583.74	2974.5	2360
1583.89	3016.7	2335
1584.05	3060.1	2309
1584.20	3089.0	2298
1584.35	3096.9	2301
1584.50	3079.1	2313
1584.66	3027.9	2353
1584.81	2946.9	2373
1584.96	2853.5	2371
1585.11	2824.7	2370
1585.26	2890.2	2383
1585.42	2951.7	2360
1585.57	3004.4	2328
1585.72	2990.0	2307
1585.87	2927.5	2312
1586.03	2880.7	2282
1586.18	2835.1	2224
1586.33	2827.5	2180
1586.48	2841.3	2158
1586.64	2869.5	2168
1586.79	2949.0	2182
1586.94	3030.4	2205
1587.09	3116.9	2240
1587.25	3189.8	2276
1587.40	3240.8	2311
1587.55	3256.1	2319
1587.70	3156.3	2336
1587.86	3053.6	2318
1588.01	2957.3	2295
1588.16	2866.0	2270
1588.31	2806.8	2231
1588.47	2828.4	2193
1588.62	2885.2	2186
1588.77	2948.6	2183
1588.92	3014.8	2203
1589.07	3110.3	2234
1589.23	3076.1	2275
1589.38	3021.0	2316
1589.53	2997.2	2363
1589.68	2978.9	2354
1589.84	2985.0	2368
1589.99	3018.4	2381
1590.14	3048.2	2321
1590.29	3041.9	2301
1590.45	3035.7	2329
1590.60	3029.4	2384
1590.75	3034.9	2386
1590.90	3039.6	2405
1591.06	3019.9	2424
1591.21	2989.4	2443
1591.36	2913.8	2443
1591.51	2843.0	2425
1591.67	2888.7	2397
1591.82	2939.2	2377
1591.97	3004.7	2361
1592.12	3073.1	2377
1592.28	3110.6	2389
1592.43	3073.3	2381
1592.58	3062.1	2360
1592.73	3025.3	2341
1592.88	2932.7	2327
1593.04	2840.3	2317
1593.19	2776.8	2330
1593.34	2717.4	2354
1593.49	2688.2	2342
1593.65	2659.6	2287
1593.80	2640.4	2314
1593.95	2635.2	2333
1594.10	2644.0	2320
1594.26	2704.9	2312
1594.41	2778.7	2346
1594.56	2697.7	2388
1594.71	2546.1	2361
1594.87	2613.2	2364
1595.02	2799.0	2357
1595.17	2798.9	2390
1595.32	2853.7	2412
1595.48	2870.1	2398
1595.63	3130.1	2409
1595.78	3616.3	2363
1595.93	3789.8	2345
1596.09	3422.7	2359
1596.24	3134.7	2379
1596.39	2986.7	2320
1596.54	3012.3	2285
1596.69	3044.8	2258
1596.85	3076.1	2264
1597.00	3090.1	2270
1597.15	3068.2	2281
1597.30	3018.4	2304
1597.46	2942.8	2357
1597.61	2877.6	2381
1597.76	2853.7	2376
1597.91	2880.8	2383
1598.07	2910.3	2377
1598.22	2973.3	2365
1598.37	3130.4	2350
1598.52	3305.1	2336
1598.68	3426.3	2320
1598.83	3312.6	2336
1598.98	3139.8	2352
1599.13	2986.7	2347
1599.29	3025.3	2325
1599.44	3090.4	2296
1599.59	3126.8	2276
1599.74	2919.2	2330
1599.90	2769.2	2368
1600.05	2633.7	2383
1600.20	2512.8	2393
1600.35	2545.5	2396
1600.50	2607.1	2392
1600.66	2629.7	2376
1600.81	2672.4	2340
1600.96	2736.6	2319
1601.11	2789.9	2303
1601.27	2847.9	2335
1601.42	2924.0	2365
1601.57	2903.4	2382
1601.72	2883.0	2400
1601.88	2891.8	2411
1602.03	2872.2	2411
1602.18	2940.2	2414
1602.33	3043.0	2430
1602.49	3078.7	2394
1602.64	3101.7	2383
1602.79	3158.5	2399
1602.94	3158.9	2403
1603.10	3160.5	2375
1603.25	3175.8	2364
1603.40	3191.2	2376
1603.55	3186.1	2365
1603.71	3156.2	2346
1603.86	3086.0	2346
1604.01	3018.9	2353
1604.16	2972.4	2352
1604.31	2952.2	2345
1604.47	2968.1	2332
1604.62	2983.8	2314
1604.77	2975.0	2306
1604.92	2937.2	2303
1605.08	2900.4	2293
1605.23	2869.3	2279
1605.38	2859.0	2272
1605.53	2911.9	2263
1605.69	2981.1	2256
1605.84	3053.7	2248
1605.99	3129.9	2280
1606.14	3178.2	2306
1606.30	3075.6	2338
1606.45	2899.8	2404
1606.60	2858.8	2429
1606.75	2951.2	2442
1606.91	3100.6	2434
1607.06	3259.1	2446
1607.21	3178.6	2431
1607.36	3104.9	2432
1607.52	3041.9	2432
1607.67	2989.5	2345
1607.82	2970.8	2271
1607.97	2948.3	2238
1608.12	2918.3	2212
1608.28	2901.2	2194
1608.43	2888.8	2187
1608.58	2897.8	2197
1608.73	2914.0	2194
1608.89	2920.7	2202
1609.04	2911.8	2189
1609.19	2895.8	2177
1609.34	2852.7	2166
1609.50	2796.3	2162
1609.65	2813.9	2158
1609.80	2857.7	2156
1609.95	2950.5	2165
1610.11	3049.6	2173
1610.26	3145.7	2213
1610.41	3194.1	2263
1610.56	3239.9	2307
1610.72	3287.0	2329
1610.87	3312.6	2350
1611.02	3257.4	2367
1611.17	3212.8	2362
1611.33	3168.4	2381
1611.48	3025.5	2413
1611.63	2891.8	2429
1611.78	2849.9	2390
1611.93	2844.4	2361
1612.09	2885.3	2402
1612.24	2989.6	2426
